Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],3,0,5,5.6590499977270765,4.001123830676079,8.27229768037796,308.0,0.2309131927320358,0.0,5,5,8,8,8,8,8,8,8,8,8
POST,POST /v1/query [multi_source],2,0,2104.616191238165,4289.411716163158,2104.616191238165,6474.207241088152,486.0,0.15394212848802385,0.0,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
POST,POST /v1/query [relation_reasoning],2,0,1530.603488907218,1797.4895276129246,1530.603488907218,2064.375566318631,498.0,0.15394212848802385,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,POST /v1/query [semantic],3,0,4.91303950548172,4.612654447555542,4.235686734318733,4.91303950548172,306.3333333333333,0.2309131927320358,0.0,5,5,5,5,5,5,5,5,5,5,5
,Aggregated,10,0,5,1220.4617600888014,4.001123830676079,6474.207241088152,381.1,0.7697106424401193,0.0,8,1500,2100,2100,6500,6500,6500,6500,6500,6500,6500
