timestamp,cpu_percent,rss_kb
2026-09-04T17:32:20+08:00,17.3,102200
2026-09-04T17:32:22+08:00,13.7,105188
2026-09-04T17:32:23+08:00,12.6,111692
2026-09-04T17:32:24+08:00,13.6,115564
2026-09-04T17:32:25+08:00,13.7,123256
2026-09-04T17:32:26+08:00,11.8,129256
2026-09-04T17:32:27+08:00,11.3,131432
2026-09-04T17:32:29+08:00,10.3,131432
2026-09-04T17:32:30+08:00,10.0,131432
2026-09-04T17:32:31+08:00,9.2,131432
2026-09-04T17:32:32+08:00,9.0,133736
2026-09-04T17:32:33+08:00,7.8,135784
2026-09-04T17:32:35+08:00,7.7,135784
