Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],53,0,990,1146.9779799358462,661.5103501826525,1987.738372758031,559.188679245283,1.8265985642271034,0.0,990,1200,1300,1500,1800,1900,1900,2000,2000,2000,2000
POST,POST /v1/query [multi_source],51,0,1400,1380.2298539336405,867.929607629776,2352.58886218071,369.70588235294116,1.7576703165204204,0.0,1400,1500,1600,1600,1700,1900,2100,2400,2400,2400,2400
POST,POST /v1/query [relation_reasoning],50,0,1400,1368.9455085620284,879.0051322430372,1619.0841794013977,326.06,1.7232061926670788,0.0,1400,1500,1500,1500,1600,1600,1600,1600,1600,1600,1600
POST,POST /v1/query [semantic],51,0,1200,1285.0737675074854,776.5872441232204,2088.0471896380186,553.0196078431372,1.7576703165204204,0.0,1200,1400,1500,1500,1900,2100,2100,2100,2100,2100,2100
,Aggregated,205,0,1300,1293.5004539424326,661.5103501826525,2352.58886218071,453.65365853658534,7.065145389935023,0.0,1300,1500,1500,1500,1700,1900,2100,2100,2400,2400,2400
