Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],21,0,150,179.38298643344925,133.40071216225624,254.89382818341255,557.6666666666666,0.7328814943361895,0.0,150,200,220,220,240,240,250,250,250,250,250
POST,POST /v1/query [multi_source],21,0,260,240.94704174924465,157.9315196722746,331.02887496352196,370.2857142857143,0.7328814943361895,0.0,260,270,270,270,290,290,330,330,330,330,330
POST,POST /v1/query [relation_reasoning],19,0,290,313.3677153014823,252.0814798772335,652.0634014159441,326.36842105263156,0.663083256780362,0.0,290,300,320,330,370,650,650,650,650,650,650
POST,POST /v1/query [semantic],21,0,250,274.9081985758884,216.69556573033333,592.1351555734873,553.1904761904761,0.7328814943361895,0.0,250,260,310,310,320,330,590,590,590,590,590
,Aggregated,82,0,250,250.65840673973648,133.40071216225624,652.0634014159441,454.9390243902439,2.8617277397889307,0.0,250,270,280,290,320,330,590,650,650,650,650
