Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],48,0,1800,2359.1817835889137,1441.0376697778702,4046.79261893034,560.375,1.6548080656873179,0.0,1900,2300,3500,3700,3900,4000,4000,4000,4000,4000,4000
POST,POST /v1/query [multi_source],47,0,3000,2906.781048573395,977.1792162209749,4597.076661884785,371.06382978723406,1.6203328976521654,0.0,3000,3300,3400,3500,3600,4300,4600,4600,4600,4600,4600
POST,POST /v1/query [relation_reasoning],45,0,3000,3054.453098608388,1496.008737012744,3742.49529466033,326.6666666666667,1.5513825615818606,0.0,3000,3200,3500,3500,3600,3700,3700,3700,3700,3700,3700
POST,POST /v1/query [semantic],48,0,2600,2829.669405512201,970.2812172472477,5116.359330713749,552.7083333333334,1.6548080656873179,0.0,2600,2700,3900,4100,4400,4600,5100,5100,5100,5100,5100
,Aggregated,188,0,2700,2782.6274244530878,970.2812172472477,5116.359330713749,455.1489361702128,6.4813315906086615,0.0,2700,3100,3500,3600,3900,4300,4600,4700,5100,5100,5100
