Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],44,0,5300,5608.12798764726,2635.1437121629715,9671.358628198504,559.6363636363636,1.53078009796329,0.0,5300,6000,6400,8200,8800,9000,9700,9700,9700,9700,9700
POST,POST /v1/query [multi_source],43,0,7300,7113.259717518854,1214.0555828809738,11488.488772884011,372.4418604651163,1.495989641191397,0.0,7300,8000,8200,8300,9300,9600,11000,11000,11000,11000,11000
POST,POST /v1/query [relation_reasoning],42,0,7500,7365.174167612124,2196.1505450308323,9547.311961650848,326.35714285714283,1.461199184419504,0.0,7500,7700,8200,8500,9100,9300,9500,9500,9500,9500,9500
POST,POST /v1/query [semantic],41,0,6700,6491.47003543813,1192.8430180996656,10118.393260985613,555.439024390244,1.4264087276476112,0.0,6700,7400,7800,8000,9400,9800,10000,10000,10000,10000,10000
,Aggregated,170,0,6900,6635.972857661545,1192.8430180996656,11488.488772884011,453.6411764705882,5.914377651221802,0.0,6900,7700,8100,8200,9200,9400,9900,11000,11000,11000,11000
