timestamp,level,cpu_percent,rss_mb,threads,postgres_connections,redis_ping_ms,neo4j_ping_ms
10090773.36681692,5,101.8,1161.046875,13,6,0.8356701582670212,2.7713850140571594
10090774.4883248,5,179.2,1167.7265625,13,7,0.8139479905366898,2.6080477982759476
10090775.611493887,5,149.6,1167.92578125,13,6,1.1857002973556519,2.8171613812446594
10090776.744597696,5,165.0,1167.92578125,13,6,1.020960509777069,3.475585952401161
10090777.872818295,5,171.9,1173.9921875,13,6,0.9313058108091354,3.110034391283989
10090778.99754476,5,166.3,1174.1171875,13,8,3.3317599445581436,3.1976215541362762
10090780.125853535,5,143.6,1174.1171875,13,8,0.6992202252149582,2.538813278079033
10090781.256264476,5,192.0,1174.1171875,13,6,0.7366612553596497,2.6077665388584137
10090782.392084328,5,175.2,1174.12109375,13,6,1.086188480257988,3.3494792878627777
10090783.521670638,5,180.6,1174.12109375,13,6,0.8826684206724167,2.60351225733757
10090784.645035796,5,142.4,1174.12109375,13,6,0.8442718535661697,2.741953358054161
10090785.773114529,5,172.9,1174.12109375,13,6,0.8008554577827454,2.967650070786476
10090786.894523865,5,166.8,1174.12109375,13,6,0.7095038890838623,3.2162871211767197
10090788.023278764,5,135.5,1174.12109375,13,6,0.6388537585735321,2.5883931666612625
10090789.155416729,5,181.1,1179.828125,13,6,0.9122639894485474,2.697305753827095
10090790.318764552,5,179.7,1180.0,13,6,0.8855462074279785,3.066275268793106
10090791.456799105,5,143.2,1180.0,13,7,2.8002429753541946,3.416839987039566
10090792.592908133,5,160.2,1180.0,13,6,0.784529373049736,3.256548196077347
10090793.721945163,5,163.0,1180.0,13,6,0.8058883249759674,2.9276441782712936
10090794.85542942,5,176.4,1180.0,13,6,0.8774921298027039,2.997295930981636
10090795.986474028,5,155.6,1180.0,13,7,0.5434807389974594,2.5817789137363434
10090797.113830917,5,176.5,1186.19140625,13,6,0.8985120803117752,2.5839954614639282
10090798.233410116,5,170.6,1186.19140625,13,6,0.7792413234710693,3.0228011310100555
10090799.353682255,5,174.1,1186.19140625,13,6,0.8413996547460556,2.870049327611923
10090800.47672283,5,162.1,1186.19140625,13,6,0.7799603044986725,2.93557345867157
10090801.60250124,5,173.2,1186.19140625,13,6,1.267310231924057,7.283499464392662
10090802.735145029,5,149.2,1186.19140625,13,6,0.8021574467420578,2.8185080736875534
