Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],51,0,480,525.9418045627136,271.0534743964672,964.1776755452156,557.6470588235294,1.7894288952203843,0.0,480,540,640,700,800,890,940,960,960,960,960
POST,POST /v1/query [multi_source],50,0,640,647.5231022015214,267.43511855602264,975.7536388933659,370.98,1.7543420541376316,0.0,650,690,720,760,900,950,980,980,980,980,980
POST,POST /v1/query [relation_reasoning],48,0,650,672.220412408933,442.1955905854702,1038.4306013584137,326.3333333333333,1.6841683719721263,0.0,650,670,700,720,940,1000,1000,1000,1000,1000,1000
POST,POST /v1/query [semantic],51,0,580,593.8280936622737,302.87809297442436,1144.828824326396,553.2352941176471,1.7894288952203843,0.0,580,680,690,710,850,920,1100,1100,1100,1100,1100
,Aggregated,200,0,600,608.754998575896,267.43511855602264,1144.828824326396,454.34,7.017368216550526,0.0,600,670,700,720,900,940,1000,1100,1100,1100,1100
