Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],9,0,2300,3191.5265559736226,1540.899321436882,7441.039877012372,489.1111111111111,0.05035795022597876,0.0,2300,2600,3700,6000,7400,7400,7400,7400,7400,7400,7400
POST,POST /v1/query [multi_source],9,3,6000,6006.879514911108,3096.753327175975,10176.414152607322,316.22222222222223,0.05035795022597876,0.016785983408659586,6000,6100,6300,6400,10000,10000,10000,10000,10000,10000,10000
POST,POST /v1/query [relation_reasoning],8,0,5900,5841.784130316228,4869.7516322135925,7043.529495596886,325.375,0.04476262242309224,0.0,6000,6100,6600,6600,7000,7000,7000,7000,7000,7000,7000
POST,POST /v1/query [semantic],9,0,5100,5082.353934438692,4094.0485149621964,6558.10416303575,1465.3333333333333,0.05035795022597876,0.0,5100,5400,5700,5800,6600,6600,6600,6600,6600,6600,6600
,Aggregated,35,3,5400,5007.460374012589,1540.899321436882,10176.414152607322,658.2571428571429,0.19583647310102853,0.016785983408659586,5400,6000,6100,6300,6600,7400,10000,10000,10000,10000,10000
