Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],9,4,25000,47863.802820030185,6507.430305704474,90318.35627183318,339.3333333333333,0.050724166820104014,0.022544074142268448,25000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
POST,POST /v1/query [multi_source],5,1,87000,74395.07151544094,55205.46320453286,87422.78524674475,417.8,0.028180092677835562,0.005636018535567112,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000,87000
POST,POST /v1/query [relation_reasoning],3,2,90000,88138.19436170161,84214.80515040457,90183.07707458735,203.0,0.016908055606701337,0.011272037071134224,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000,90000
POST,POST /v1/query [semantic],6,0,58000,58879.376656996705,57501.22946873307,61423.69366437197,1513.6666666666667,0.03381611121340267,0.0,59000,59000,59000,59000,61000,61000,61000,61000,61000,61000,61000
,Aggregated,23,7,59000,61758.279390633106,6507.430305704474,90318.35627183318,644.9565217391304,0.12962842631804358,0.039452129748969784,59000,87000,90000,90000,90000,90000,90000,90000,90000,90000,90000
