timestamp,level,cpu_percent,rss_mb,threads,postgres_connections,redis_ping_ms,neo4j_ping_ms
10067440.422274483,2,748.5,1308.9296875,81,6,0.7631164044141769,3.3413656055927277
10067442.21042036,2,446.8,1320.80078125,145,6,0.751720741391182,9.222017601132393
10067443.922576731,2,789.6,1321.00390625,145,6,0.9178444743156433,7.308904081583023
10067445.526908815,2,782.9,1454.8828125,145,6,0.8106641471385956,3.9997585117816925
10067447.702881517,2,771.1,1467.328125,145,6,1.7924755811691284,3.631623461842537
10067449.320083678,2,816.2,1467.9921875,145,6,87.40592934191227,4.858639091253281
10067451.226729816,2,792.0,1469.31640625,145,6,0.9603798389434814,8.596429601311684
10067452.444662908,2,624.8,1485.59765625,146,6,1.0605566203594208,4.225568845868111
10067454.009212852,2,775.3,1486.328125,146,6,0.8908994495868683,76.95883139967918
10067455.80708687,2,788.7,1486.328125,146,6,0.7671751081943512,88.91637250781059
10067457.609839676,2,788.2,1486.55859375,146,6,0.7221847772598267,8.73316265642643
10067459.215598015,2,791.5,1486.7265625,146,6,3.7590917199850082,8.35389457643032
10067461.203987768,2,780.5,1486.7265625,146,6,0.8985083550214767,9.402284398674965
10067463.21841854,2,804.2,1486.7265625,146,6,1.6744453459978104,103.52973267436028
10067464.916429346,2,790.9,1486.7890625,146,6,0.7907561957836151,3.3150147646665573
10067466.142639076,2,57.1,1489.18359375,146,6,1.064227893948555,5.359729751944542
10067467.71520072,2,436.2,1489.1875,146,6,0.9044241160154343,11.677330359816551
10067469.517632615,2,797.3,1489.26953125,146,6,0.8479058742523193,3.7612076848745346
10067471.031065436,2,775.1,1489.26953125,146,6,0.7269680500030518,7.613467052578926
10067472.623920234,2,805.5,1489.26953125,146,6,8.851079270243645,17.47574470937252
10067474.412520245,2,776.0,1489.26953125,146,6,0.8707195520401001,84.96973477303982
10067476.012920631,2,789.8,1491.7109375,146,6,82.12104812264442,4.479009658098221
10067478.207213048,2,783.4,1491.8046875,146,6,0.7710494101047516,5.327362567186356
10067480.001040868,2,782.7,1491.8046875,146,6,1.310901716351509,97.14744426310062
10067481.906503689,2,797.7,1491.8046875,146,6,0.9805429726839066,6.769979372620583
10067483.709589135,2,794.2,1491.8046875,146,6,0.7192902266979218,9.321879595518112
10067485.106102312,2,727.6,1491.8046875,146,6,0.894639641046524,5.089445039629936
10067486.718714738,2,773.2,1491.8046875,146,6,4.108443856239319,3.818923607468605
10067488.308765331,2,775.4,1491.8046875,146,6,0.8639898151159286,5.265887826681137
10067490.009753134,2,794.8,1491.8046875,146,6,89.56583961844444,5.435973405838013
10067491.615178188,2,787.3,1491.8046875,146,6,0.7813684642314911,78.46910879015923
10067493.500172738,2,806.2,1491.8046875,146,6,1.4946628361940384,7.213084027171135
10067495.405349463,2,767.0,1491.8046875,146,6,0.9359549731016159,80.93935810029507
10067497.000696288,2,784.2,1491.8046875,146,6,0.6867013871669769,82.44536817073822
10067498.616298648,2,813.3,1491.8046875,146,6,1.0560322552919388,4.276672378182411
10067500.506171668,2,776.2,1491.8046875,146,6,0.7669273763895035,90.96981212496758
10067502.31283522,2,804.2,1491.8046875,146,6,14.131955802440643,181.81547336280346
10067504.109470336,2,782.0,1491.8046875,146,6,0.617465004324913,7.868999615311623
10067505.900473105,2,780.6,1491.8046875,146,6,0.6699934601783752,3.1025130301713943
10067507.904227287,2,794.0,1491.8046875,146,6,1.0554753243923187,7.540956139564514
10067509.911832992,2,797.0,1491.8046875,146,6,8.997341617941856,81.96281269192696
10067511.8093417,2,787.3,1491.8046875,146,6,7.640954107046127,100.88428668677807
10067513.424242351,2,714.0,1491.8046875,146,6,0.6902292370796204,96.94971144199371
10067515.323088378,2,793.6,1491.8046875,146,6,0.8292719721794128,4.975751042366028
10067517.110554926,2,775.4,1491.8046875,146,6,81.34839870035648,7.291899994015694
10067519.308614489,2,791.2,1491.8046875,146,6,0.7050391286611557,5.437057465314865
10067521.118169095,2,794.2,1491.8046875,146,6,78.15646938979626,17.65378750860691
10067522.7294401,2,795.6,1613.1640625,146,6,3.147721290588379,7.586738094687462
10067524.210511578,2,744.1,1616.26953125,146,6,1.6335789114236832,4.236143082380295
10067525.354067028,2,7.9,1616.26953125,146,6,0.7628407329320908,3.8753822445869446
10067527.005803172,2,561.8,1625.62890625,146,6,83.9331429451704,13.453075662255287
10067528.914583992,2,804.2,1625.62890625,146,6,10.968640446662903,5.763845518231392
10067530.620097063,2,800.3,1625.62890625,146,6,0.791110098361969,7.549414411187172
10067532.300657256,2,752.8,1625.62890625,146,6,3.3755023032426834,4.354596138000488
10067533.451416604,2,716.0,1625.62890625,146,6,0.8466746658086777,3.7443675100803375
10067534.588627469,2,0.9,1625.62890625,146,6,0.6128065288066864,3.435751423239708
10067536.20066968,2,498.8,1625.62890625,146,6,0.8968990296125412,8.00895132124424
10067537.903739017,2,785.6,1625.796875,146,6,3.4121815115213394,7.1434080600738525
10067539.503473908,2,793.9,1625.796875,146,6,0.76240673661232,4.670415073633194
10067541.117268084,2,806.8,1625.796875,146,6,3.068516030907631,4.537016153335571
10067542.807382997,2,775.1,1625.796875,146,6,0.8073542267084122,84.60952900350094
10067544.601943117,2,780.7,1625.796875,146,6,2.509424462914467,83.79040099680424
10067546.206502449,2,790.9,1625.796875,146,6,0.9373445063829422,95.61020880937576
10067548.102208892,2,792.3,1626.8203125,146,6,2.6891473680734634,89.33302015066147
10067549.809581729,2,723.3,1626.8203125,146,6,84.30850878357887,7.981304079294205
10067551.50947424,2,787.1,1627.07421875,146,6,0.6588064134120941,85.69879829883575
10067553.223853916,2,810.2,1627.43359375,146,6,3.7355367094278336,88.33883330225945
10067555.115111964,2,783.1,1627.43359375,146,6,0.7437411695718765,21.31015807390213
10067556.814570738,2,795.5,1627.43359375,146,6,84.34877172112465,8.98435153067112
10067558.504333075,2,769.9,1627.54296875,146,6,1.1667590588331223,4.584399983286858
10067560.222451104,2,811.3,1627.54296875,146,6,0.752866268157959,4.83999028801918
10067561.910047004,2,780.4,1627.54296875,146,6,1.6944874078035355,89.21987935900688
10067563.5022156,2,771.9,1627.54296875,146,6,0.6200466305017471,4.158364608883858
10067565.011667736,2,802.3,1627.54296875,146,6,0.6697438657283783,6.633387878537178
10067566.714215174,2,787.6,1627.54296875,146,6,0.6185974925756454,92.31359884142876
10067568.508092562,2,791.0,1627.54296875,146,6,0.9783953428268433,101.7297264188528
10067570.308053467,2,795.6,1627.54296875,146,6,1.8780268728733063,4.715600982308388
10067572.124069706,2,796.3,1627.54296875,146,6,5.122417584061623,11.603854596614838
10067573.902159428,2,771.0,1627.54296875,146,6,0.6372611969709396,4.590095952153206
10067575.607950479,2,799.0,1627.54296875,146,6,80.36685362458229,12.102866545319557
10067577.504106013,2,786.9,1627.54296875,146,6,0.6339326500892639,4.3587759137153625
10067579.030142428,2,773.9,1627.54296875,146,6,0.9589232504367828,3.438293933868408
10067580.16148504,2,23.9,1627.54296875,146,6,0.7676240056753159,3.316495567560196
10067581.725428008,2,383.0,1631.54296875,146,6,0.8415449410676956,13.521231710910797
10067583.260399228,2,733.6,1631.54296875,146,6,0.720122829079628,3.7658773362636566
10067584.724069767,2,811.7,1631.54296875,146,6,0.8602030575275421,93.59768591821194
10067586.510856798,2,695.7,1631.54296875,146,6,2.5999341160058975,83.5371557623148
10067587.721340485,2,514.7,1631.54296875,146,6,0.8651725947856903,3.3551547676324844
10067589.400993595,2,526.9,1631.54296875,146,6,0.9949430823326111,5.995443090796471
10067591.10676546,2,796.1,1631.54296875,146,6,0.7002018392086029,4.708327353000641
10067593.10838073,2,791.4,1631.54296875,146,6,84.68691259622574,12.723876163363457
10067595.308206694,2,791.4,1631.54296875,146,6,0.7813349366188049,5.061084404587746
10067597.209210793,2,794.3,1631.54296875,146,6,0.8518397808074951,5.157496780157089
10067598.706081891,2,787.7,1631.54296875,146,6,0.8766669780015945,4.5180544257164
10067600.41859724,2,802.9,1631.54296875,146,6,1.7615500837564468,9.34695266187191
10067602.20349032,2,769.8,1631.54296875,146,6,0.9275991469621658,5.317535251379013
10067604.021056304,2,811.5,1631.65234375,146,6,0.7500629872083664,91.27078391611576
10067605.808211805,2,776.6,1631.65234375,146,6,80.14363795518875,5.744555965065956
10067607.42548584,2,813.7,1631.65234375,146,6,0.7705241441726685,4.707915708422661
10067609.01731592,2,779.0,1631.66015625,146,6,0.9460672736167908,8.596943691372871
10067610.62982894,2,764.0,1631.66015625,146,6,0.6007980555295944,3.871798515319824
10067612.205414891,2,684.8,1631.7109375,146,6,4.056138917803764,101.44650004804134
10067613.909221305,2,805.3,1631.7109375,146,6,73.61913099884987,17.247440293431282
10067615.714812523,2,789.2,1631.7109375,146,6,11.943960562348366,4.377005621790886
10067617.41363998,2,800.0,1631.7109375,146,6,2.2851545363664627,12.93322816491127
10067619.224188251,2,791.5,1631.7109375,146,6,7.394220679998398,5.016634240746498
10067621.013266291,2,785.3,1631.7109375,146,6,0.9685084223747253,15.008917078375816
10067622.628594827,2,798.6,1631.7109375,146,6,1.6485191881656647,92.1899862587452
