Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],9,0,2500,6768.580912715859,1473.8037642091513,14299.944272264838,496.8888888888889,0.05253355007476749,0.0,2500,11000,12000,13000,14000,14000,14000,14000,14000,14000,14000
POST,POST /v1/query [multi_source],9,2,11000,12522.297025347749,8314.462952315807,22311.191676184535,369.22222222222223,0.05253355007476749,0.01167412223883722,11000,12000,12000,14000,22000,22000,22000,22000,22000,22000,22000
POST,POST /v1/query [relation_reasoning],6,0,16000,15504.949952165285,13271.089259535074,17006.880428642035,326.8333333333333,0.035022366716511655,0.0,16000,16000,17000,17000,17000,17000,17000,17000,17000,17000,17000
POST,POST /v1/query [semantic],9,0,7600,7843.654423331221,4364.768734201789,14519.242089241743,1415.2222222222222,0.05253355007476749,0.0,7600,8300,9200,10000,15000,15000,15000,15000,15000,15000,15000
,Aggregated,33,2,11000,10219.408817137733,1473.8037642091513,22311.191676184535,681.6060606060606,0.19262301694081413,0.01167412223883722,11000,12000,14000,14000,16000,17000,22000,22000,22000,22000,22000
