Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],9,0,4800,24340.226371462148,4005.581721663475,53615.41094444692,502.77777777777777,0.050333398864057285,0.0,4800,43000,49000,50000,54000,54000,54000,54000,54000,54000,54000
POST,POST /v1/query [multi_source],6,1,29000,37261.63848520567,26299.139434471726,49932.742765173316,401.8333333333333,0.033555599242704855,0.0055925998737841424,44000,44000,48000,48000,50000,50000,50000,50000,50000,50000,50000
POST,POST /v1/query [relation_reasoning],4,0,45000,46007.32081755996,42122.49928899109,50284.63940881193,325.25,0.02237039949513657,0.0,47000,47000,50000,50000,50000,50000,50000,50000,50000,50000,50000
POST,POST /v1/query [semantic],6,0,28000,27890.161603689194,22702.60559208691,30599.388079717755,1398.8333333333333,0.033555599242704855,0.0,29000,29000,30000,30000,31000,31000,31000,31000,31000,31000,31000
,Aggregated,25,1,30000,31760.084845870733,4005.581721663475,53615.41094444692,665.2,0.13981499684460358,0.0055925998737841424,30000,44000,47000,49000,50000,50000,54000,54000,54000,54000,54000
