timestamp,cpu_percent,rss_kb
2026-09-04T17:28:52+08:00,50.0,105852
2026-09-04T17:28:53+08:00,27.0,106372
2026-09-04T17:28:54+08:00,14.5,106372
2026-09-04T17:28:55+08:00,12.2,106372
2026-09-04T17:28:57+08:00,11.3,106372
2026-09-04T17:28:58+08:00,10.2,106372
2026-09-04T17:28:59+08:00,9.6,106372
2026-09-04T17:29:00+08:00,9.1,106372
2026-09-04T17:29:01+08:00,8.0,106372
2026-09-04T17:29:03+08:00,7.6,106372
2026-09-04T17:29:04+08:00,7.6,106372
2026-09-04T17:29:05+08:00,7.4,106372
2026-09-04T17:29:06+08:00,7.2,106372
2026-09-04T17:29:07+08:00,7.0,106372
2026-09-04T17:29:08+08:00,6.5,106372
2026-09-04T17:29:10+08:00,6.3,106372
2026-09-04T17:29:11+08:00,6.2,106372
2026-09-04T17:29:12+08:00,6.1,106372
2026-09-04T17:29:13+08:00,6.0,106372
2026-09-04T17:29:14+08:00,6.0,106372
2026-09-04T17:29:15+08:00,5.7,106372
2026-09-04T17:29:17+08:00,5.6,106372
2026-09-04T17:29:18+08:00,5.6,106372
2026-09-04T17:29:19+08:00,5.5,106372
2026-09-04T17:29:20+08:00,5.5,106372
2026-09-04T17:29:21+08:00,5.3,106372
2026-09-04T17:29:22+08:00,5.2,106636
2026-09-04T17:29:24+08:00,5.6,106896
2026-09-04T17:29:25+08:00,5.9,106896
2026-09-04T17:29:26+08:00,6.2,107600
2026-09-04T17:29:27+08:00,6.5,107600
2026-09-04T17:29:28+08:00,6.6,107616
2026-09-04T17:29:30+08:00,6.9,107620
2026-09-04T17:29:31+08:00,7.2,107620
2026-09-04T17:29:32+08:00,7.5,107620
2026-09-04T17:29:33+08:00,7.9,107664
2026-09-04T17:29:34+08:00,8.2,107752
2026-09-04T17:29:35+08:00,8.2,107752
2026-09-04T17:29:37+08:00,8.4,107752
2026-09-04T17:29:38+08:00,8.5,107752
2026-09-04T17:29:39+08:00,8.7,107752
2026-09-04T17:29:40+08:00,8.8,107752
2026-09-04T17:29:41+08:00,9.0,107752
2026-09-04T17:29:42+08:00,9.0,107752
2026-09-04T17:29:44+08:00,9.1,107752
2026-09-04T17:29:45+08:00,9.3,107752
2026-09-04T17:29:46+08:00,9.5,107752
2026-09-04T17:29:47+08:00,9.6,107752
2026-09-04T17:29:48+08:00,9.6,107752
2026-09-04T17:29:49+08:00,9.7,107752
2026-09-04T17:29:51+08:00,9.8,107752
2026-09-04T17:29:52+08:00,9.9,107752
2026-09-04T17:29:53+08:00,10.0,107768
2026-09-04T17:29:54+08:00,10.4,108012
