Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],2342,0,51,50.66609975780869,1.8050838261842728,156.78025782108307,307.8744662681469,80.73055693084859,0.0,51,64,73,79,94,110,120,130,150,160,160
POST,POST /v1/query [multi_source],2314,0,60,62.26372422268912,4.886554554104805,169.5936620235443,543.509507346586,79.76537520836193,0.0,60,75,85,90,110,120,140,150,160,170,170
POST,POST /v1/query [relation_reasoning],2305,0,57,57.84068619933408,4.1962116956710815,160.78279353678226,540.5154013015184,79.45513822613407,0.0,57,72,81,88,100,120,130,140,160,160,160
POST,POST /v1/query [semantic],2327,0,51,52.436773431918425,1.8571168184280396,164.1130317002535,307.8689299527288,80.21349529380217,0.0,51,65,74,80,96,110,130,130,160,160,160
,Aggregated,9288,0,55,55.77965298768624,1.8050838261842728,169.5936620235443,424.31330749354004,320.1645656591468,0.0,55,69,78,84,100,120,130,140,160,170,170
