Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],68,0,3,3.5513881046105835,2.174992114305496,7.329987362027168,307.80882352941177,2.3423640321377777,0.0,3,4,4,4,5,5,6,7,7,7,7
POST,POST /v1/query [multi_source],67,0,7,7.387773814930845,5.542034283280373,16.82005263864994,542.8955223880597,2.3079175022533986,0.0,7,7,8,8,8,9,9,17,17,17,17
POST,POST /v1/query [relation_reasoning],67,0,7,6.822259735260436,4.910605028271675,9.650057181715965,540.1940298507462,2.3079175022533986,0.0,7,7,7,7,8,8,9,10,10,10,10
POST,POST /v1/query [semantic],67,0,3,3.6701049044061063,2.022121101617813,19.427206367254257,307.82089552238807,2.3079175022533986,0.0,3,4,4,4,5,5,5,19,19,19,19
,Aggregated,269,0,5,5.351166050451839,2.022121101617813,19.427206367254257,424.2453531598513,9.266116538897974,0.0,5,7,7,7,8,8,9,10,19,19,19
