Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],347,0,2,2.9491705857539383,1.8597953021526337,16.684655100107193,307.8587896253602,11.947922576379746,0.0,2,2,3,3,5,7,11,13,17,17,17
POST,POST /v1/query [multi_source],345,0,5,6.446778671681017,4.718339070677757,17.620664089918137,543.4347826086956,11.879058469311275,0.0,5,6,7,7,10,11,14,15,18,18,18
POST,POST /v1/query [relation_reasoning],345,0,5,5.789420089643935,4.200929775834084,24.937840178608894,540.5246376811594,11.879058469311275,0.0,5,6,6,7,8,10,13,18,25,25,25
POST,POST /v1/query [semantic],345,0,2,2.764840143314306,1.8211472779512405,11.861994862556458,307.8695652173913,11.879058469311275,0.0,2,2,3,3,4,6,8,9,12,12,12
,Aggregated,1382,0,4,4.485326060316325,1.8211472779512405,24.937840178608894,424.75253256150506,47.58509798431357,0.0,4,5,5,6,7,9,13,14,18,25,25
