Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],687,0,2,3.9912945410613583,1.7983093857765198,40.82094132900238,307.89228529839886,23.66827401114646,0.0,2,3,4,5,8,11,19,35,41,41,41
POST,POST /v1/query [multi_source],682,0,5,7.129407067212366,4.603955894708633,45.65439186990261,543.4618768328446,23.49601583057043,0.0,6,7,9,9,11,13,16,19,46,46,46
POST,POST /v1/query [relation_reasoning],680,0,5,6.529360757592847,4.130452871322632,47.022584825754166,540.525,23.427112558340017,0.0,5,6,8,9,10,12,15,18,47,47,47
POST,POST /v1/query [semantic],684,0,2,3.2473596913075586,1.784730702638626,43.11446659266949,307.89181286549706,23.56491910280084,0.0,2,2,3,4,6,8,11,16,43,43,43
,Aggregated,2733,0,5,5.2196978827535645,1.784730702638626,47.022584825754166,424.55836077570433,94.15632150285774,0.0,5,5,6,7,10,12,16,19,43,47,47
