timestamp,level,cpu_percent,rss_mb,threads,postgres_connections,redis_ping_ms,neo4j_ping_ms
10066699.018481804,1,402.2,932.72265625,80,6,1.8395744264125824,6.3090939074754715
10066700.808178987,1,766.1,958.1875,80,6,11.96572370827198,79.65386658906937
10066702.030935436,1,705.8,985.73046875,80,7,0.7325466722249985,4.545643925666809
10066703.819071705,1,740.4,986.12109375,80,6,1.9481778144836426,14.693284407258034
10066705.52295122,1,681.4,1015.64453125,80,6,0.725986436009407,7.990805432200432
10066707.302817728,1,773.7,1041.37890625,80,6,0.7646363228559494,5.546286702156067
10066708.704390043,1,630.7,1048.875,80,6,0.9213611483573914,4.524491727352142
10066710.32000684,1,814.5,1048.875,80,6,1.0207965970039368,13.904513791203499
10066712.118236965,1,665.1,1053.7109375,80,6,92.39190816879272,85.3371974080801
10066713.815327184,1,666.4,1054.828125,80,6,1.3430528342723846,95.32367996871471
10066715.809444891,1,776.8,1055.23828125,80,6,0.7632672786712646,5.377843976020813
10066717.180049416,1,780.7,1055.23828125,80,7,0.8380915969610214,4.502108320593834
10066718.801609712,1,691.9,1055.3515625,80,6,0.7645320147275925,7.463857531547546
10066720.603309251,1,713.2,1055.421875,80,6,0.6957929581403732,10.768657550215721
10066722.115394812,1,810.8,1055.45703125,80,6,0.7277186959981918,101.55349783599377
10066723.484864442,1,724.4,1055.46484375,80,6,0.689435750246048,4.71951998770237
10066725.009275869,1,750.5,1055.51171875,80,6,3.4764520823955536,95.21855972707272
10066726.336301882,1,712.1,1055.51171875,80,6,1.2456513941287994,5.494138225913048
10066727.92051596,1,741.7,1055.5390625,80,6,3.7803389132022858,9.7273550927639
