Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /v1/query [exact_fact],3,0,1500,1871.3228243092697,341.6115716099739,3756.66930899024,558.0,0.10668184080850326,0.0,1500,1500,3800,3800,3800,3800,3800,3800,3800,3800,3800
POST,POST /v1/query [multi_source],3,0,4100,3587.93006464839,1893.3092132210732,4727.119870483875,370.3333333333333,0.10668184080850326,0.0,4100,4100,4700,4700,4700,4700,4700,4700,4700,4700,4700
POST,POST /v1/query [relation_reasoning],1,0,2773.482780903578,2773.482780903578,2773.482780903578,2773.482780903578,323.0,0.03556061360283442,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
POST,POST /v1/query [semantic],3,0,2400,2724.787081281344,1722.0168765634298,4063.4677074849606,553.6666666666666,0.10668184080850326,0.0,2400,2400,4100,4100,4100,4100,4100,4100,4100,4100,4100
,Aggregated,10,0,2400,2732.560269162059,341.6115716099739,4727.119870483875,476.9,0.35560613602834423,0.0,2800,3800,4100,4100,4700,4700,4700,4700,4700,4700,4700
